we (verb ending),-iamo
to go,andare
let's go / we go,andiamo
us / each other / ourselves,ci
see you (lit. we see each other),ci vediamo
boss / head,capo
to understand,capire
we understand,capiamo
to escape / to run off,scappare
we come,veniamo
we see,vediamo
we want,vogliamo
we,noi
we can,possiamo
to give,dare
you give,dai
we give,diamo
the book,il libro
the books,i libri
will you give it to me?,me lo dai?
the car / machine,la macchina
car,auto
the car,l'auto
university,università
opinion,opinione
kitchen,cucina
to cook,cucinare
with,con
life,vita
vital,vitale
friends (male / mixed),amici
my friends,i miei amici
to buy,comprare
your friends,i tuoi amici
to eat,mangiare
we eat / let's eat,mangiamo
here,qui
to pass / to pass by,passare
the salt,il sale
to come to eat,venire a mangiare
word,parola
to find,trovare
I find,trovo
well,bene
I know him well,lo conosco bene
to know (a fact),sapere
I know,so
I know (it),lo so
I don't know,non lo so
if / whether,se
you know,sai
the reason / motive,il motivo
we know,sappiamo
how,come
how is it?,com'è?
no,no
ready / hello (on the phone),pronto
I am,sono
you are,sei
invited,invitato
interested,interessato
very,molto
where,dove
where is it?,dov'è?
sincere,sincero
intelligent,intelligente
they,loro
we are,siamo
they are,sono (they)
