school,école
the school,l'école
near / close to,près de
hospital,hôpital
the forest,la forêt
the beast,la bête
to stop / to arrest,arrêter
to smoke,fumer
to quit smoking,arrêter de fumer
to stop (oneself),s'arrêter
to study,étudier
I study,j'étudie
what / that,que
I know,je sais
I don't know,je ne sais pas
to come,venir
you know,tu sais
what (standalone / after the verb),quoi
why,pourquoi
foot,pied
to speak,parler
I speak,je parle
about what,de quoi
father,père
my father,mon père
French (language),le français
to go on foot,aller à pied
to the (à + le),au
goodbye,au revoir
the office,le bureau
they (masculine / mixed),ils
they (feminine),elles
they can,ils peuvent
of the / from the (de + le),du
fish,poisson
to taste / to try (food),goûter
to fish,pêcher
to lose,perdre
the feather / pen,la plume
they want,ils veulent
they must,ils doivent
for / in order to,pour
to pay,payer
they eat,ils mangent
to forget,oublier
an apartment,un appartement
different,différent
how,comment
to call,appeler
to be called / named,s'appeler
what's your name?,comment tu t'appelles?
my name is,je m'appelle
to do,faire
what (question),qu'est-ce que
that's life,c'est la vie
to buy,acheter
I buy,j'achète
what (non-question),ce que
to think,penser
you think,tu penses
because,parce que
by / through / via,par
to leave,partir
soon,bientôt
only / nothing but,ne ... que
big,grande
my house,ma maison
