to be,essere
at seven o'clock,alle sette
hour,ora
there,là
we must / we have to,dobbiamo
seven,sette
eight,otto
nine,nove
ten,dieci
the being,l'essere
human being,essere umano
human,umano
humanity,umanità
different,differente
important,importante
independent,indipendente
frustrating,frustrante
frustrated,frustrato
situation,situazione
to clean,pulire
clean / cleaned,pulito
understood,capito
finished,finito
sold,venduto
known / famous,conosciuto
I have,ho
I've understood / I get it,ho capito
everything / all,tutto
you have,hai
come (past participle),venuto
welcome,benvenuto
I have come,sono venuto
I have gone,sono andato
spoken,parlato
to arrive,arrivare
arrived,arrivato
yesterday,ieri
we have,abbiamo
bought,comprato
to drive,guidare
yet / again / still,ancora
but,ma
the whole house,tutta la casa
I have bought it,l'ho comprato
already,già
hi / bye,ciao
past / passed,passato
the past,il passato
something,qualcosa
given; data,dato
to the (a + il),al
done / made,fatto
the fact,il fatto
I have done it,l'ho fatto
I understand,capisco
you understand,capisci
to prefer,preferire
I prefer,preferisco
difference,differenza
importance,importanza
consequence,conseguenza
to follow / to continue,seguire
action,azione
of the (di + le),delle
I finish,finisco
he/she/it finishes,finisce
he/she/it has,ha
he/she has cleaned,ha pulito
