I,io
I can,posso
them (masculine),li
today,oggi
the dog,il cane
the dogs,i cani
the concert,il concerto
to see,vedere
to confirm,confermare
to stop (something),fermare
to sign,firmare
to organise,organizzare
convertible,convertibile
to collaborate,collaborare
to work,lavorare
I work,lavoro
I see,vedo
I see you,ti vedo
possibility,possibilità
probability,probabilità
personality,personalità
person,persona
generous,generoso
to try / to try out,provare
opportunity,opportunità
city,città
the city,la città
you must,devi
you try,provi
I try,provo
tomorrow,domani
you see,vedi
late,tardi
more,più
later,più tardi
to do / to make,fare
why / because,perché
to speak,parlare
Italian,italiano
I speak Italian,parlo italiano
you speak,parli
for,per
please,per favore
father,padre
good morning / good day,buon giorno
day,giorno
the day,il giorno
to indicate / to point,indicare
indication / direction,indicazione
condition,condizione
tradition,tradizione
the job / work,il lavoro
when,quando
house,casa
the house,la casa
the houses,le case
thing / what,cosa
what,che cosa
what?,cosa?
what are you talking about?,di cosa parli?
"you (subject, emphatic)",tu
a thing / something,una cosa
to show (lit. to make see),fare vedere
you want,vuoi
to come,venire
home / at home,a casa
my house,casa mia
you can,puoi
you do / you make,fai
to sell,vendere
priority,priorità
responsibility,responsabilità
activity,attività
friend (male),amico
friend (female),amica
my friend (male),il mio amico
my friend (female),la mia amica
to know / to meet / to get to know,conoscere
celebrity,celebrità
you know,conosci
I know,conosco
I know him,lo conosco
your friend (male),il tuo amico
your friend (female),la tua amica
them (feminine),le
I know them,li conosco
