"was/used to (imperfect, -ar verbs)",-aba
I/he was speaking / used to speak,hablaba
I was waiting,esperaba
I was trying,intentaba
I have been able,he podido
dinner,cena
to have dinner / to dine,cenar
I was having dinner,cenaba
to burn,quemar
it gets burnt,se quema
sun,sol
to break,romper
I break,rompo
it breaks / gets broken,se rompe
all the time,todo el tiempo
all / everything,todo
to change,cambiar
I was eating,comía
I was selling,vendía
for sale (lit. it sells itself),se vende
how do you say?,¿cómo se dice?
he/she says,dice
they say,dicen
we say,decimos
Spanish is spoken,se habla español
I have one left,me queda uno
I have two left,me quedan dos
one,uno
two,dos
I used to have / I had,tenía
I had to,tenía que
yesterday,ayer
four,cuatro
I was seeing / used to see,veía
I/he/she was (ser),era
we were,éramos
I was going,iba
I was going to,iba a
what's his/her name?,¿cómo se llama?
thank you,gracias
thanks for coming,gracias por venir
reason,razón
for this reason,por esta razón
day,día
the day,el día
every day,todos los días
three,tres
to work,trabajar
because of you,por ti
I'm there for you,estoy para ti
I'm here because of you,estoy por ti
to exchange for,cambiar por
"to argue (not ""discuss"")",discutir
current,actual
currently,actualmente
to believe,creer
I believe,creo
way / form,forma
in this way,de esta forma
thanks for calling,gracias por llamar
in order to,para (in order to)
to resolve,resolver
course,curso
a Spanish course,un curso de español
health,salud
healthy,saludable
to swim,nadar
-ing (adjective suffix),-ante/-iente
irritating,irritante
frustrating,frustrante
moon,luna
Monday,lunes
Tuesday,martes
Wednesday,miércoles
Thursday,jueves
Friday,viernes
living,viviente
I could / was able to (past),podía
I/he/she had (pluperfect auxiliary),había
I had eaten,había comido
already,ya
I/he wanted,quería
to look for / to search,buscar
to close,cerrar
closed,cerrado
door,puerta
movie / film,película
I am lost,estoy perdido
chair / seat,silla
to wet,mojar
wet,mojado
to have gone,haber ido
party,fiesta
to tire,cansar
I get tired / fed up,me canso
broken (participle),roto
to die,morir
dead / died,muerto
it has broken,se ha roto
to open,abrir
open / opened,abierto
said; a saying,dicho
done / made; a fact,hecho
I'm dying / I'm dead (tired),me muero
made in Spain,hecho en España
smoke,humo
to smoke,fumar
brother,hermano
sister,hermana
