he/she sells,vende
he/she speaks,parla
he/she eats,mangia
he/she wants,vuole
to want,volere
that (relative),che (that)
he/she knows,sa
to have,avere
found,trovato
seen,visto
the view,la vista
the port,il porto
the door,la porta
to import / to matter,importare
it doesn't matter,non importa
I don't care,non mi importa
to be able / can,potere
potent / powerful,potente
the power,il potere
he/she/it can,può
he,lui
she,lei
our,nostro
but / however,però
been able,potuto
to live,vivere
he/she lives,vive
living,vivente
to say / to tell,dire
I have said,ho detto
said; a saying,detto
popular,popolare
nothing,niente
you're welcome (lit. of nothing),di niente
I say / I tell,dico
you say,dici
he/she says,dice
I do / I make,faccio
we do,facciamo
he/she does / makes,fa
now,adesso
they say,dicono
to offer / to pay,offrire
I offer,offro
they eat,mangiano
they speak,parlano
too much,troppo
they do / make,fanno
fairytale / fable,favola
they want,vogliono
they can,possono
to wait (for),aspettare
they know,sanno
they have,hanno
the party,la festa
to have fun / to enjoy oneself,divertirsi
I'm having fun,mi diverto
I had fun,mi sono divertito
fun / funny,divertente
we got ready,ci siamo preparati
